name,address
Five Star Solar,"Sacramento, CA"
Solectric,"Sacramento, CA"
Continuum,"Sacramento, CA"
EnergyAid,"Sacramento, CA"
Superior Solar Inc,"Rancho Cordova, CA"
North Valley Solar Power,"Sacramento, CA"
Infinium Solar Roofing and Electric,"Campbell, CA"
TN Electrical and Solar Services,"Milpitas, CA"
Highlight Solar,"San Jose, CA"
Clean Solar,"San Jose, CA"
Green Leaf Solar & Electric,"San Jose, CA"
Simmitri Inc,"San Jose, CA"
Solar Source,"Long Beach, CA"
Solar Wholesale Group,"Long Beach, CA"
Evergreen Solar and Home Battery,"Huntington Beach, CA"
Better Earth Solar,"Cerritos, CA"
Innovative Electric Solar,"Long Beach, CA"
Urban Energy Solar Inc,"Cerritos, CA"
Renew Power,"Bakersfield, CA"
Sun Solar Energy Solutions,"Bakersfield, CA"
Discount Solar Solutions,"Bakersfield, CA"
Fuzion Energy,"Bakersfield, CA"
Jeff Pereira Home Energy,"Bakersfield, CA"
MSI Solar,"Bakersfield, CA"
OC Solar,"Orange County, CA"
Ameco Solar LLC,"Valley Village, CA"
Sunlux,"Los Angeles, CA"
LGCY Power,"Los Angeles, CA"
American Array Solar and Roofing,"Los Angeles, CA"
Sunergy,"San Diego, CA"
Solar Optimum,"Los Angeles, CA"
NRG Clean Power,"San Diego, CA"
Semper Solaris Construction Inc,"San Diego, CA"
Solar by Quality Home Services,"Fresno, CA"
Stellar Solar Inc,"Fresno, CA"
